不	26142
人	20764
山	15921
无	15603
风	15464
一	15062
日	14784
云	13304
有	12503
何	12308
来	12178
天	11958
中	11310
时	11257
花	11193
春	10978
上	10969
水	10954
月	10809
相	9598
年	9454
为	9423
生	9309
君	9240
长	9049
心	8974
自	8943
如	8644
知	8604
白	8405
归	8283
此	8061
秋	8017
行	7876
见	7804
去	7697
清	7429
夜	7410
江	7366
在	7336
空	7301
得	7240
下	7213
高	7132
未	6950
里	6904
明	6636
多	6559
金	6528
门	6485
青	6426
处	6414
客	6389
是	6384
寒	6274
落	6166
子	6127
声	6113
玉	6037
千	5983
家	5960
今	5921
雨	5902
叁	5888
远	5850
事	5818
道	5814
南	5721
前	5719
朝	5715
出	5603
万	5583
路	5540
飞	5487
入	5466
东	5463
我	5423
城	5417
草	5382
深	5328
与	5290
新	5276
尽	5266
烟	5245
树	5230
流	5226
开	5206
思	5206
别	5074
已	5030
地	4996
回	4985
酒	4954
谁	4942
西	4939
欲	4929
马	4925
色	4920
将	4916
还	4904
应	4785
可	4761
独	4739
闻	4680
成	4613
更	4568
向	4553
重	4552
光	4546
阳	4445
身	4442
同	4433
雪	4432
望	4373
石	4372
香	4341
看	4333
游	4303
满	4299
愁	4284
海	4231
老	4192
书	4184
情	4153
林	4145
衣	4135
从	4128
古	4070
红	4057
头	4033
歌	4017
难	3982
尘	3970
楼	3850
方	3832
旧	3787
似	3782
莫	3781
龙	3771
能	3768
名	3741
黄	3736
犹	3714
闲	3660
分	3645
作	3595
到	3562
后	3561
气	3521
言	3518
当	3514
叶	3500
平	3497
过	3480
鸟	3468
仙	3463
间	3449
十	3434
複	3416
几	3388
离	3356
亦	3356
松	3324
初	3290
王	3284
北	3282
台	3263
诗	3254
起	3252
意	3252
非	3224
外	3223
华	3219
五	3205
竹	3199
边	3189
故	3113
随	3107
百	3105
公	3083
暮	3082
梦	3077
大	3065
宫	3041
然	3040
安	3034
吟	2983
少	2962
醉	2954
孤	2948
晚	2946
枝	2941
露	2926
野	2925
汉	2921
国	2915
柳	2899
世	2892
阴	2876
文	2862
之	2862
终	2836
所	2785
坐	2785
馀	2777
神	2764
碧	2749
好	2747
霜	2744
幽	2742
若	2739
绿	2735
关	2727
轻	2726
逢	2725
临	2713
河	2703
波	2701
问	2698
留	2696
岁	2685
微	2676
半	2661
四	2656
连	2654
芳	2653
泉	2646
池	2630
乡	2597
溪	2586
发	2570
共	2540
岂	2533
近	2514
影	2504
翠	2502
期	2500
小	2499
须	2489
因	2477
曲	2469
九	2459
经	2445
惊	2442
庭	2427
断	2425
照	2415
两	2409
吹	2407
双	2375
遥	2366
残	2341
乐	2321
动	2319
曾	2309
晓	2306
忆	2306
寻	2303
正	2292
对	2271
物	2255
却	2252
苦	2247
舟	2246
垂	2239
悲	2235
静	2233
居	2222
鹤	2205
笑	2201
木	2176
才	2174
沙	2165
楚	2164
者	2157
先	2153
峰	2145
紫	2143
夕	2124
鸣	2113
星	2095
凤	2094
又	2092
语	2091
依	2088
常	2082
久	2080
唯	2073
怜	2069
苍	2067
鱼	2058
忽	2058
泪	2048
浮	2044
车	2038
和	2035
官	2019
至	2012
通	2009
二	2008
以	2004
登	2002
宿	1999
景	1995
只	1995
合	1991
且	1987
数	1982
恩	1979
早	1977
传	1969
雁	1962
转	1960
听	1959
爱	1956
女	1954
堪	1943
真	1931
陵	1927
散	1921
怀	1912
虚	1911
寂	1898
绝	1895
送	1892
病	1878
园	1870
使	1869
丹	1868
疏	1859
萧	1842
恨	1839
吾	1838
川	1837
堂	1833
主	1820
寄	1814
穷	1809
舞	1802
秦	1801
灵	1795
州	1783
帝	1777
火	1764
昔	1763
窗	1762
觉	1759
节	1757
足	1746
悠	1745
其	1738
皆	1737
死	1736
太	1735
手	1734
乱	1727
兴	1722
暗	1714
始	1707
亲	1702
兮	1698
于	1694
待	1694
带	1690
僧	1690
霞	1685
迟	1685
田	1682
往	1673
罗	1665
凉	1665
阁	1664
珠	1659
容	1652
晴	1643
会	1640
信	1632
画	1631
兰	1630
剑	1623
湖	1615
虽	1605
休	1604
首	1601
征	1600
尚	1599
燕	1596
胜	1595
识	1595
隐	1589
度	1586
逐	1582
桃	1580
洞	1577
辞	1573
直	1572
斜	1557
夫	1551
士	1549
群	1548
移	1542
绕	1540
隔	1538
岸	1537
亭	1533
含	1526
功	1523
步	1517
徒	1514
圣	1514
谢	1513
贤	1512
伤	1512
愿	1507
儿	1502
杯	1497
欢	1496
浪	1488
丝	1485
倚	1482
争	1471
琴	1464
令	1464
颜	1464
学	1463
军	1459
寺	1455
结	1454
胡	1452
卧	1445
解	1440
拂	1435
师	1425
尔	1424
疑	1423
荒	1423
羽	1423
立	1420
贵	1416
忧	1413
桂	1411
横	1406
朱	1405
眼	1404
殿	1400
镜	1392
郎	1382
吴	1382
锦	1380
食	1378
用	1378
翻	1377
飘	1374
交	1373
便	1372
化	1366
塞	1365
皇	1363
啼	1361
乘	1360
迹	1354
薄	1353
药	1351
岩	1346
骑	1345
定	1329
异	1323
着	1323
栖	1322
易	1321
命	1320
惜	1316
劳	1312
忘	1308
说	1304
力	1303
灯	1303
苔	1302
求	1301
映	1293
臣	1293
喜	1292
兵	1287
干	1274
洛	1274
猿	1267
弦	1261
及	1259
本	1255
沉	1254
饮	1252
念	1250
钟	1246
船	1245
音	1237
遗	1237
径	1236
教	1233
六	1227
杨	1225
斗	1224
荣	1222
暖	1214
他	1211
由	1207
冷	1205
稀	1205
细	1203
素	1201
即	1193
湘	1192
贫	1191
阙	1190
摇	1184
折	1184
感	1179
衰	1178
迎	1177
偏	1177
魂	1172
德	1171
低	1171
条	1170
都	1166
侯	1163
住	1163
极	1157
口	1157
桥	1151
轩	1147
眠	1147
章	1146
顾	1143
卷	1139
渐	1138
引	1135
玄	1134
鬓	1131
息	1129
蓬	1128
但	1126
良	1123
报	1123
面	1122
彩	1116
论	1113
掩	1112
取	1112
惟	1109
怅	1105
缘	1105
莲	1101
战	1101
越	1101
鼓	1096
纷	1093
骨	1092
目	1089
美	1088
想	1086
接	1085
甯	1085
持	1084
禅	1083
频	1083
片	1082
帘	1080
邻	1080
暂	1077
元	1074
倾	1073
八	1072
破	1071
宜	1071
变	1070
歎	1062
悬	1061
守	1057
迷	1055
傍	1048
武	1046
鸡	1045
洲	1045
帆	1041
户	1035
冰	1034
莺	1033
枕	1033
罢	1028
凝	1024
閒	1023
村	1021
齐	1019
钓	1019
佳	1017
虎	1016
京	1015
伴	1009
盘	1009
许	1009
泥	1007
梁	1005
俗	1004
土	1004
载	1002
宝	1001
昏	1000
眉	1000
沧	999
任	996
失	996
必	991
井	988
御	983
